img,title,url,link_from,author_img,author_name,publish_time,views,_id
http://img3.chouti.com/CHOUTI_20191007/926196CF81E145F895CD7D29F43C825D_W633H633.jpeg,【NBA：莫雷伤害了中国球迷感情】NBA首席传播官迈克尔-巴斯今日发布以下声明：我们对休斯顿火箭队总经理达瑞尔-莫雷发表的不当言论感到极其失望，他无疑已经严重地伤害了中国球迷的感情。莫雷现已澄清他的言论不代表火箭队和NBA的立场。在NBA的价值观下，人们可对感兴趣的事情深入了解并分享自己的看法。,https://www.guancha.cn/culture/2019_10_07_520430.shtml,www.guancha.cn,https://img3.chouti.com/CHOUTI_191007_E37C0A5CC11148498608467E866824FC.jpg,头条新闻,23分钟前,5,5d9a9b8d9dfffc63431b06f6
http://img3.chouti.com/CHOUTI_20191007/DB7D3F7B2CE24D8DB06FFEA4BAECC1B8_W259H259.jpeg,【莫雷发推回应涉港言论，没道歉】“我无意通过自己的推特冒犯火箭队粉丝和我在中国的朋友们。我只是基于某种阐释，对一个复杂事件表达某一种想法。自那条推特发出以后，我有机会倾听和思考其他（思考问题的）角度。我一直赞赏中国粉丝和赞助商的大力支持，我希望那些失望的人能明白，冒犯或者误解并非我的本意。”,https://news.sina.com.cn/s/2019-10-07/doc-iicezzrr0520330.shtml,news.sina.com.cn,https://img3.chouti.com/CHOUTI_191007_778026109AF94366B642C0E006C52930.jpg,新浪,23分钟前,8,5d9a9b8d9dfffc63431b06f7
http://img3.chouti.com/CHOUTI_20191007/3802B6D36C2C4BF281FE941ADF15D18F_W458H458.024.jpg,加拿大最好的医学院之一，麦克马斯特大学牵头的一个关于“红肉对健康的影响”的全球性研究，复查了过去几十年采用的证据，发现“红肉致癌”的证据并不充分。“红肉不健康”这个结论，确定性很低。这篇论文遭到学界权威“歇斯底里”式的批评和反对。,https://weibo.com/3799086960/IaefjBemw,weibo.com,https://img3.chouti.com/CHOUTI_191007_160FB39A044348F2AD22E8398D6445EA.jpg,巧克力榛子酱,27分钟前,6,5d9a9b8d9dfffc63431b06f8
http://img3.chouti.com/CHOUTI_20191007/A58CA0F9497E4AB2A33900ACFFB41496_W416H416.303.jpg,我的房东要出国了，有点难过,http://www.newsmth.net/bbstcon.php?board=Beipiao&gid=103098,www.newsmth.net,https://img3.chouti.com/group1/M00/10/A5/wKgCL07MonLVieuCAAAeJuxWqMQ917.gif,水木十大热门话题,57分钟前,20,5d9a9b8d9dfffc63431b06f9
http://img3.chouti.com/CHOUTI_20191007/6B7157FD1D3B46CBB94BC042A5EBE804_W464H464.jpg,今天看到一个消息，涅槃字幕组的创始人因病离世，一时间真的很难过。我一直觉得，字幕组是一个很神奇的存在。他们躲在字幕后面，日日重复找资源，翻译，打轴，校对，分享。不被官方认可，手里没有版权，冒着风险，无私分享。可就是这些灰色的字幕，改变了一代人的文化接受方式,https://weibo.com/7241601616/Ia8ubyxQz,weibo.com,https://img3.chouti.com/CHOUTI_191007_75514619DA9C46E59623131C2421C347.jpg,蓝色三小姐,1小时7分钟前,109,5d9a9b8d9dfffc63431b06fa
http://img3.chouti.com/CHOUTI_20191007/DAE6749CA0C445C0BF55F9169D9D9D6A_W326H326.762.jpg,数字货币：星辰大海还是终极霸权,https://finance.sina.com.cn/roll/2019-10-07/doc-iicezuev0463410.shtml,finance.sina.com.cn,https://img3.chouti.com/C5A1AF6B996FB2D74631890C8725BF0A=C150x150.png,南门孤风,1小时28分钟前,14,5d9a9b8d9dfffc63431b06fb
http://img3.chouti.com/CHOUTI_20191006/E16A758D907D4EAFAB7887B85C82855E_W456H456.jpeg,【什么样的教育，教出了瑞典气候女孩？】格蕾塔本人不能算是瑞典教育系统的失败案例：在九年级的毕业考试当中，格蕾塔无疑取得了相当不错的成绩，十七门课程中的十四门都拿到了“A”，其中五门还获得了班级最高分。但这样的例外是否值得被鼓励为“榜样”？,https://feng.ifeng.com/c/7qV69CCBlsJ,feng.ifeng.com,https://img3.chouti.com/7BD4C0]Q$$(A]A%7B2H88)7W3=48x48.jpg,智喜,1小时58分钟前,20,5d9a9b8d9dfffc63431b06fc
http://img3.chouti.com/CHOUTI_20191006/2474BD9537E74468A880FC9AAE1D416F_W376H376.jpeg,【伊拉克连日示威致近百人死亡，局势骤紧联合国呼吁停止暴力】@陶永谊：自从2003年美英联军推翻萨达姆政权以后，伊拉克成为恐怖主义、刑事犯罪和贪污腐败的天堂。近期伊拉克的乱象说明，任何治理方式都有其存在的前提，当这些前提不不存在时，强行推行需要付出的代价会更大。,https://www.jiemian.com/article/3553267.html,www.jiemian.com,https://img3.chouti.com/group11/M00/B3/5B/wKgCPVVR2TrqPjtOAAAZZ-UF7pU255.jpg,界面,2小时28分钟前,27,5d9a9b8d9dfffc63431b06fd
http://img3.chouti.com/CHOUTI_20191007/1FCA27EF0FA042C89FA2517A94DBA553_W421H421.jpeg,没品+4chan笑话集：我的新准心怎么样？,http://meipin.im/p/100935,meipin.im,https://img3.chouti.com/CHOUTI_191007_201918404B8646AF931EEC831EB3D9D0.png,平平无奇,2小时58分钟前,38,5d9a9b8d9dfffc63431b06fe
http://img3.chouti.com/CHOUTI_20191006/DEEE7EF6D7CA4D20BA5EBBC2B0613F43_W600H600.jpeg,【多家中国赞助商与休斯顿火箭队终止合作】虎扑已经暂停了火箭队的文字直播和新闻资讯的报道，并锁定火箭专区。在10月6日腾讯体育转播NBA季前赛间隙，播报西部队伍介绍名单时，已经没有了火箭队的任何相关信息。,https://www.jiemian.com/article/3553506.html,www.jiemian.com,https://img3.chouti.com/group11/M00/B3/5B/wKgCPVVR2TrqPjtOAAAZZ-UF7pU255.jpg,界面,3小时58分钟前,95,5d9a9b8d9dfffc63431b06ff
